Date,Price,Months,Seasons
1997-01-16,4.71,1,4
1997-02-05,2.65,2,4
1997-03-17,2.01,3,1
1997-04-23,2.22,4,1
1997-05-07,2.34,5,1
1997-06-24,2.32,6,2
1997-07-17,2.29,7,2
1997-08-29,2.69,8,2
1997-09-26,3.24,9,3
1997-10-28,3.61,10,3
1997-11-12,3.28,11,3
1997-12-02,2.61,12,4
1998-01-02,2.16,1,4
1998-02-06,2.35,2,4
1998-03-31,2.34,3,1
1998-04-08,2.65,4,1
1998-05-13,2.24,5,1
1998-06-24,2.4,6,2
1998-07-01,2.46,7,2
1998-08-19,1.96,8,2
1998-09-25,2.38,9,3
1998-10-01,2.33,10,3
1998-11-11,2.33,11,3
1998-12-21,2.05,12,4
1999-01-04,2.1,1,4
1999-02-09,1.82,2,4
1999-03-31,2.02,3,1
1999-04-29,2.37,4,1
1999-05-05,2.36,5,1
1999-06-07,2.41,6,2
1999-07-29,2.67,7,2
1999-08-25,3.1,8,2
1999-09-10,2.84,9,3
1999-10-27,3.02,10,3
1999-11-03,2.82,11,3
1999-12-20,2.67,12,4
2000-01-28,2.84,1,4
2000-02-02,2.91,2,4
2000-03-28,2.94,3,1
2000-04-25,3.18,4,1
2000-05-31,4.52,5,1
2000-06-27,4.55,6,2
2000-07-03,4.36,7,2
2000-08-22,4.8,8,2
2000-09-27,5.34,9,3
2000-10-12,5.54,10,3
2000-11-21,6.35,11,3
2000-12-21,10.49,12,4
2001-01-08,10.31,1,4
2001-02-02,6.76,2,4
2001-03-28,5.6,3,1
2001-04-10,5.55,4,1
2001-05-01,4.55,5,1
2001-06-13,4.13,6,2
2001-07-31,3.31,7,2
2001-08-16,3.46,8,2
2001-09-12,2.44,9,3
2001-10-29,3.21,10,3
2001-11-01,2.99,11,3
2001-12-11,2.58,12,4
2002-01-03,2.58,1,4
2002-02-27,2.49,2,4
2002-03-26,3.59,3,1
2002-04-02,3.72,4,1
2002-05-01,3.79,5,1
2002-06-26,3.92,6,2
2002-07-01,3.28,7,2
2002-08-26,3.51,8,2
2002-09-30,4.09,9,3
2002-10-01,4.41,10,3
2002-11-25,4.34,11,3
2002-12-16,5.31,12,4
2003-01-23,6.55,1,4
2003-02-25,18.48,2,4
2003-03-03,8.509999999999998,3,1
2003-04-16,5.62,4,1
2003-05-15,6.24,5,1
2003-06-04,6.4,6,2
2003-07-09,5.56,7,2
2003-08-25,5.26,8,2
2003-09-11,4.85,9,3
2003-10-13,4.96,10,3
2003-11-26,4.86,11,3
2003-12-18,6.98,12,4
2004-01-06,7.04,1,4
2004-02-04,5.74,2,4
2004-03-18,5.63,3,1
2004-04-13,5.92,4,1
2004-05-25,6.73,5,1
2004-06-17,6.57,6,2
2004-07-07,6.27,7,2
2004-08-02,5.86,8,2
2004-09-30,6.36,9,3
2004-10-27,8.12,10,3
2004-11-04,7.4,11,3
2004-12-17,7.259999999999998,12,4
2005-01-18,6.69,1,4
2005-02-28,6.62,2,4
2005-03-31,7.46,3,1
